0,           8300,        CW,  1,   #40FFFFFF, Not Allocated
8300,        14000,       CW,  1,   #5500C9C9, Radionavigation/ Meteorological Aids
14000,       19650,       CW,  1,   #40BAFD00, Power Line Carrier (PLC) Communications
19650,       19950,       CW,  1,   #5580C0C0, NWC (AU)
19950,       20050,       AM,  1,   #44FF00FF, 20KHz Time Signal
20050,       21250,       CW,  1,   #40BAFD00, Power Line Carrier (PLC) Communications
21250,       21550,       CW,  1,   #5580C0C0, NPM (US)
21550,       24650,       CW,  1,   #40BAFD00, Power Line Carrier (PLC)
24650,       24950,       CW,  1,   #5580C0C0, NLK (US)(Jim Creek)
24950,       25050,       CW,  1,   #40BAFD00, Power Line Carrier (PLC) Communications
25050,       25350,       CW,  1,   #5580C0C0, NML (US)
25350,       26750,       CW,  1,   #40BAFD00, Power Line Carrier (PLC) Communications
26750,       27050,       CW,  1,   #5580C0C0, NOV (US)
27050,       37850,       CW,  1,   #40BAFD00, Power Line Carrier (PLC)
37850,       38150,       CW,  1,   #5580C0C0, SHR (SE)
38150,       39950,       CW,  1,   #40BAFD00, Power Line Carrier (PLC)
39950,       40050,       CW,  1,   #44FF00FF, JJY-40 (JP)
40050,       40250,       CW,  1,   #40BAFD00, Power Line Carrier (PLC) Communications
40250,       40550,       CW,  1,   #5580C0C0, SAS/SRC (SE)
40550,       42350,       CW,  1,   #40BAFD00, Power Line Carrier (PLC) Communications
42350,       42650,       CW,  1,   #5580C0C0, SAS2 (SE)
42650,       44050,       CW,  1,   #40BAFD00, Power Line Carrier (PLC) Communications
44050,       44350,       CW,  1,   #5580C0C0, SAS3 (SE)
44350,       59500,       CW,  1,   #40BAFD00, Power Line Carrier (PLC)
59500,       60500,       AM,  1,   #44FF00FF, WWVB NIST
60500,       66335,       CW,  1,   #40BAFD00, Power Line Carrier (PLC)
66335,       66985,       CW,  1,   #44FF00FF, RBU (RU)
66985,       68350,       CW,  1,   #40BAFD00, Power Line Carrier (PLC) Communications
68350,       68650,       CW,  1,   #44FF00FF, BPC (CN)
68650,       76850,       CW,  1,   #40BAFD00, Power Line Carrier (PLC)
76850,       78150,       CW,  1,   #44FF00FF, DCF77 (DE)
78150,       80850,       CW,  1,   #40BAFD00, Power Line Carrier (PLC)
80850,       81150,       CW,  1,   #5580C0C0, GYN2 GBR (UK)
81150,       120600,      CW,  1,   #55008080, Radiolocation
120600,      123600,      USB, 10,  #5500FF91, WEFAX Halifax CA
123600,      135700,      CW,  1,   #507676FF, RFID (LF)
135700,      137800,      LSB, 10,  #50FF0000, 2200m
137800,      140000,      CW,  1,   #507676FF, RFID (LF)
140000,      148500,      USB, 10,  #55008080, Maritime Mobile Service
148500,      160000,      AM,  10,  #505347FF, Long Wave
160000,      161850,      CW,  10,  #50FF44AA, 1750m (LowFER) and Long Wave
161850,      162150,      CW,  10,  #44FF00FF, TDF (FR)
162150,      190000,      CW,  10,  #50FF44AA, 1750m (LowFER) and Long Wave
190000,      283500,      AM,  10,  #505347FF, Long Wave
283500,      472000,      CW,  1,   #55008080, Maritime Mobile Service
472000,      479000,      CW,  10,  #50FF0000, 630m Ham Band
479000,      525000,      USB, 10,  #55008080, Maritime Mobile/ Aeronautical Radionavigation/ RFID
525000,      1705000,     AM,  10,  #33FF0000, AM Radio/ Medium Wave (212m)
